Domain,Program,Target,SD
Communication & Language Development,Responding to Name & Environmental Sounds,Turn head when name is called loudly,Turn quickly when your name is shouted.
Communication & Language Development,Responding to Name & Environmental Sounds,Look toward speaker when name is called,Direct your gaze when you hear your name.
Communication & Language Development,Responding to Name & Environmental Sounds,Identify name among multiple voices,Find your name in a group call.
Communication & Language Development,Responding to Name & Environmental Sounds,Respond with a smile when name is called,Smile when you hear your name.
Communication & Language Development,Responding to Name & Environmental Sounds,React promptly to name call in quiet setting,Immediately look up when your name is spoken.
Communication & Language Development,Responding to Name & Environmental Sounds,React promptly to name call in noisy setting,"Even with noise, turn your head when you hear your name."
Communication & Language Development,Responding to Name & Environmental Sounds,Follow auditory cue with own name,"When you hear your name in a song, respond."
Communication & Language Development,Responding to Name & Environmental Sounds,Acknowledge name call with eye contact,Look into my eyes when I call your name.
Communication & Language Development,Responding to Name & Environmental Sounds,Repeat own name after hearing it,Mimic your name after hearing it.
Communication & Language Development,Responding to Name & Environmental Sounds,Associate own name with self-identity,Recognize your name on a card.
Communication & Language Development,Responding to Name & Environmental Sounds,Recognize parent's name in conversation,Turn when you hear 'Mommy' or 'Daddy.'
Communication & Language Development,Responding to Name & Environmental Sounds,Respond to name when used with a gesture,Look at me when I call your name with a wave.
Communication & Language Development,Responding to Name & Environmental Sounds,Look towards the door when name is called,Glance towards the door when your name is mentioned.
Communication & Language Development,Responding to Name & Environmental Sounds,Respond with a vocalization when name is called,Say a sound when you hear your name.
Communication & Language Development,Responding to Name & Environmental Sounds,Follow a multi-step name call,"When I call your name and then say 'come here,' respond."
Communication & Language Development,Responding to Name & Environmental Sounds,Respond to name when delayed,"Even if there is a slight pause, respond to your name."
Communication & Language Development,Responding to Name & Environmental Sounds,Identify own name in a picture,Point to the picture that shows your name.
Communication & Language Development,Responding to Name & Environmental Sounds,Follow a name call with a head turn,Turn your head each time you hear your name.
Communication & Language Development,Responding to Name & Environmental Sounds,Acknowledge a friendly name call from peer,Smile when a friend calls your name.
Communication & Language Development,Responding to Name & Environmental Sounds,Display excitement upon hearing own name,Show excitement when your name is called.
Communication & Language Development,Responding to Name & Environmental Sounds,Demonstrate recognition of name with a gesture,Wave your hand when you hear your name.
Communication & Language Development,Responding to Name & Environmental Sounds,Show recognition of name with a nod,Nod your head when you hear your name.
Communication & Language Development,Responding to Name & Environmental Sounds,Express happiness when hearing a loved one's name,Smile broadly when you hear 'Mommy' or 'Daddy.'
Communication & Language Development,Responding to Name & Environmental Sounds,Demonstrate recognition of name with a gesture,Wave your hand when you hear your name.
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: clap,Clap your hands when I say 'clap.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: wave,Wave your hand when I say 'wave.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: point to toy,Point to the toy when I say 'point.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: touch your nose,Touch your nose when I say 'touch.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: sit down,Sit down when I say 'sit.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: stand up,Stand up when I say 'stand.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: look at me,Look at me when I say 'look.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: come here,Come here when I say 'come here.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: give me the ball,Hand me the ball when I say 'give ball.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: open the door,Open the door when I say 'open door.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: close the book,Close the book when I say 'close book.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: jump,Jump when I say 'jump.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: run,Run when I say 'run.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: turn around,Turn around when I say 'turn.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: pick up the block,Pick up the block when I say 'pick up block.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: put down the toy,Put down the toy when I say 'put toy down.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: slide the car,Slide the car when I say 'slide car.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: stack the cups,Stack the cups when I say 'stack cups.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: point to red,Point to something red when I say 'red.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: point to blue,Point to something blue when I say 'blue.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: clap your hands,Clap your hands when I say 'clap.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: stomp your feet,Stomp your feet when I say 'stomp.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: touch the ball,Touch the ball when I say 'touch ball.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: wave goodbye,Wave goodbye when I say 'goodbye.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: smile,Smile when I say 'smile.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: look at the picture,Look at the picture when I say 'picture.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: say 'hi',Say 'hi' when I prompt 'hi.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: nod your head,Nod your head when I say 'nod.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: shake your head,Shake your head when I say 'no.'
Communication & Language Development,Receptive Language (Following Commands),Follow one-step command: point to the animal,Point to the animal when I say 'animal.'
Communication & Language Development,Early Vocalizations & Babbling,Produce vowel sound 'ah',Say 'ah' when prompted.
Communication & Language Development,Early Vocalizations & Babbling,Produce vowel sound 'oo',Say 'oo' when prompted.
Communication & Language Development,Early Vocalizations & Babbling,Produce consonant-vowel 'ba',Say 'ba' when I model it.
Communication & Language Development,Early Vocalizations & Babbling,Produce consonant-vowel 'da',Say 'da' when I model it.
Communication & Language Development,Early Vocalizations & Babbling,Produce consonant-vowel 'ma',Say 'ma' when I model it.
Communication & Language Development,Early Vocalizations & Babbling,Babble with varied intonation,Babble with rising and falling tone.
Communication & Language Development,Early Vocalizations & Babbling,Repeat a syllable sequence,Repeat 'ba-ba' after me.
Communication & Language Development,Early Vocalizations & Babbling,Increase variety in babbling sounds,Use different sounds during babbling.
Communication & Language Development,Early Vocalizations & Babbling,Vary pitch during babbling,Change your pitch while babbling.
Communication & Language Development,Early Vocalizations & Babbling,Increase volume control during babbling,Adjust volume when babbling softly or loudly.
Communication & Language Development,Early Vocalizations & Babbling,Babble in response to caregiver talk,Babble when I talk to you.
Communication & Language Development,Early Vocalizations & Babbling,Imitate vowel sounds from adult,Mimic the vowel sound I make.
Communication & Language Development,Early Vocalizations & Babbling,Imitate consonant sounds from adult,Mimic the consonant sound I make.
Communication & Language Development,Early Vocalizations & Babbling,Combine consonants and vowels spontaneously,Create a new sound combination.
Communication & Language Development,Early Vocalizations & Babbling,Produce sound sequence 'baba',Say 'baba' when prompted.
Communication & Language Development,Early Vocalizations & Babbling,Produce sound sequence 'mama',Say 'mama' when prompted.
Communication & Language Development,Early Vocalizations & Babbling,Produce sound sequence 'dada',Say 'dada' when prompted.
Communication & Language Development,Early Vocalizations & Babbling,Vary rhythm in babbling,Babble with a rhythmic pattern.
Communication & Language Development,Early Vocalizations & Babbling,Experiment with sound length in babbling,Make some sounds longer than others.
Communication & Language Development,Early Vocalizations & Babbling,Babble while engaging in play,Babble during toy play.
Communication & Language Development,Early Vocalizations & Babbling,Babble when attention is sought,Babble when I look at you.
Communication & Language Development,Early Vocalizations & Babbling,Babble with facial expressions,Babble while smiling or frowning.
Communication & Language Development,Early Vocalizations & Babbling,Use different voice pitches while babbling,Vary your voice pitch while babbling.
Communication & Language Development,Early Vocalizations & Babbling,Babble in response to musical sounds,Babble along with the music.
Communication & Language Development,Early Vocalizations & Babbling,Imitate a simple word-like sound,Try to mimic a word sound.
Communication & Language Development,Early Vocalizations & Babbling,Babble during interactive play,Babble when interacting with a caregiver.
Communication & Language Development,Early Vocalizations & Babbling,Produce a prolonged babble sequence,Keep babbling for several seconds.
Communication & Language Development,Early Vocalizations & Babbling,Engage in back-and-forth babbling,Take turns babbling with me.
Communication & Language Development,Early Vocalizations & Babbling,Combine multiple babbling sounds,Mix several sounds together.
Communication & Language Development,Early Vocalizations & Babbling,Respond to auditory prompts with babbling,Babble when I prompt you.
Communication & Language Development,Imitation of Sounds,Imitate simple sound 'ba',Repeat 'ba' after I say it.
Communication & Language Development,Imitation of Sounds,Imitate simple sound 'da',Repeat 'da' after I say it.
Communication & Language Development,Imitation of Sounds,Imitate simple sound 'ma',Repeat 'ma' after I say it.
Communication & Language Development,Imitation of Sounds,Imitate tone change from high to low,Copy the tone change I demonstrate.
Communication & Language Development,Imitation of Sounds,Imitate tone change from low to high,Match the rising tone I model.
Communication & Language Development,Imitation of Sounds,Repeat rhythmic clapping sound,Clap rhythmically after me.
Communication & Language Development,Imitation of Sounds,Imitate a beep from a toy,Say 'beep' after hearing it.
Communication & Language Development,Imitation of Sounds,Imitate animal sound 'meow',Say 'meow' after I model it.
Communication & Language Development,Imitation of Sounds,Imitate animal sound 'woof',Say 'woof' after I model it.
Communication & Language Development,Imitation of Sounds,Imitate a sound sequence from caregiver,Copy the sound sequence I make.
Communication & Language Development,Imitation of Sounds,Imitate a series of syllables,Repeat the syllable series I provide.
Communication & Language Development,Imitation of Sounds,Copy a melodic sound,Imitate the melody I sing.
Communication & Language Development,Imitation of Sounds,Imitate simple instrumental sound,Copy the sound of the xylophone.
Communication & Language Development,Imitation of Sounds,Repeat a sound after a pause,Wait and then repeat the sound.
Communication & Language Development,Imitation of Sounds,Imitate the sound of a car horn,Say 'beep-beep' when prompted.
Communication & Language Development,Imitation of Sounds,Imitate vocal sound with rising intonation,Mimic my rising tone.
Communication & Language Development,Imitation of Sounds,Imitate vocal sound with falling intonation,Mimic my falling tone.
Communication & Language Development,Imitation of Sounds,Imitate a soft spoken sound,Repeat softly after me.
Communication & Language Development,Imitation of Sounds,Imitate a loud vocalization,Repeat loudly after me.
Communication & Language Development,Imitation of Sounds,Imitate a rapid sound sequence,Copy the quick sound series.
Communication & Language Development,Imitation of Sounds,Imitate a drawn-out sound,"Repeat a long, stretched sound."
Communication & Language Development,Imitation of Sounds,Imitate a sound during a game,Copy the sound made during play.
Communication & Language Development,Imitation of Sounds,Imitate a sound in a quiet environment,Repeat the sound in silence.
Communication & Language Development,Imitation of Sounds,Imitate a sound in a noisy environment,Copy the sound even with background noise.
Communication & Language Development,Imitation of Sounds,Imitate a familiar sound from routine,Repeat the sound you often hear.
Communication & Language Development,Imitation of Sounds,Imitate a sound associated with play,Copy the sound during playtime.
Communication & Language Development,Imitation of Sounds,Imitate a sound associated with mealtime,Repeat the sound at snack time.
Communication & Language Development,Imitation of Sounds,Imitate a sound associated with story time,Copy the sound during story time.
Communication & Language Development,Imitation of Sounds,Imitate a sound during interactive reading,Repeat the sound while reading.
Communication & Language Development,Imitation of Sounds,Imitate a sound when prompted by caregiver,Copy the sound when I ask you.
Communication & Language Development,Gestural Communication,Point to desired object,Point to the object you want.
Communication & Language Development,Gestural Communication,Wave hello,Wave your hand when greeting.
Communication & Language Development,Gestural Communication,Wave goodbye,Wave your hand when leaving.
Communication & Language Development,Gestural Communication,Reach out to be picked up,Extend your arms when you want to be held.
Communication & Language Development,Gestural Communication,Show a thumbs-up,Give a thumbs-up gesture.
Communication & Language Development,Gestural Communication,Show a thumbs-down,Give a thumbs-down gesture.
Communication & Language Development,Gestural Communication,Make a nodding gesture,Nod your head to agree.
Communication & Language Development,Gestural Communication,Shake head 'no',Shake your head to say no.
Communication & Language Development,Gestural Communication,Extend arm for high-five,Raise your hand for a high-five.
Communication & Language Development,Gestural Communication,Use sign for 'more',Show the sign for 'more.'
Communication & Language Development,Gestural Communication,Use sign for 'all done',Show the sign for 'all done.'
Communication & Language Development,Gestural Communication,Use sign for 'help',Show the sign for 'help.'
Communication & Language Development,Gestural Communication,Gesture to indicate hunger,Point to your tummy when hungry.
Communication & Language Development,Gestural Communication,Gesture to indicate thirst,Point to your mouth when thirsty.
Communication & Language Development,Gestural Communication,Gesture to indicate discomfort,Point to show you feel unwell.
Communication & Language Development,Gestural Communication,Point to a picture in a book,Point at the image you see.
Communication & Language Development,Gestural Communication,Use hand to indicate 'stop',Raise your hand to say stop.
Communication & Language Development,Gestural Communication,Use hand to indicate 'go',Wave your hand to say go.
Communication & Language Development,Gestural Communication,Reach out for a toy,Extend your arm for the toy.
Communication & Language Development,Gestural Communication,Raise hand to request attention,Lift your hand when you need me.
Communication & Language Development,Gestural Communication,Make a 'come here' gesture,Wave your hand to signal 'come here.'
Communication & Language Development,Gestural Communication,Make a 'look at me' gesture,Gesture for me to look at you.
Communication & Language Development,Gestural Communication,Point to location,Point to where you want to go.
Communication & Language Development,Gestural Communication,Gesture to request a turn,Show your hand to request a turn.
Communication & Language Development,Gestural Communication,Use sign for 'please',Use the sign for 'please.'
Communication & Language Development,Gestural Communication,Use sign for 'thank you',Use the sign for 'thank you.'
Communication & Language Development,Gestural Communication,Show a gesture for 'yes',Nod your head for yes.
Communication & Language Development,Gestural Communication,Show a gesture for 'no',Shake your head for no.
Communication & Language Development,Gestural Communication,Indicate 'I want that' with hand,Point at the item you want.
Communication & Language Development,Gestural Communication,Use a gesture to indicate 'finish',Signal when you are done.
Communication & Language Development,Manding (Requesting),Request a preferred toy,Say 'toy please' when you want your toy.
Communication & Language Development,Manding (Requesting),Request a snack,Ask for a snack by pointing or vocalizing.
Communication & Language Development,Manding (Requesting),Request a drink,Say 'drink please' when thirsty.
Communication & Language Development,Manding (Requesting),Request attention from caregiver,Say 'look at me' when you want attention.
Communication & Language Development,Manding (Requesting),Request a break,Indicate 'break' when tired.
Communication & Language Development,Manding (Requesting),Request to go outside,Say 'outside' when you want to go out.
Communication & Language Development,Manding (Requesting),Request a favorite song,Ask for your favorite song by signing or vocalizing.
Communication & Language Development,Manding (Requesting),Request a story,Say 'story please' when you want a story.
Communication & Language Development,Manding (Requesting),Request a turn with a toy,Say 'my turn' when you want a turn.
Communication & Language Development,Manding (Requesting),Request help with a task,Say 'help please' when you need assistance.
Communication & Language Development,Manding (Requesting),Request a cuddle,Say 'cuddle' when you want to be held.
Communication & Language Development,Manding (Requesting),Request a specific food item,Say the name of the food you want.
Communication & Language Development,Manding (Requesting),Request a favorite activity,Say 'play' when you want to play.
Communication & Language Development,Manding (Requesting),Request to play with a peer,Say 'play together' when you want to join.
Communication & Language Development,Manding (Requesting),Request a comforting object,Say 'blanket' when you need comfort.
Communication & Language Development,Manding (Requesting),Request to use the bathroom,Say 'bathroom' when you need to go.
Communication & Language Development,Manding (Requesting),Request for a high-five,Ask for a high-five by raising your hand.
Communication & Language Development,Manding (Requesting),Request a hug,Say 'hug' when you want a hug.
Communication & Language Development,Manding (Requesting),Request a change in activity,Say 'change' when you want something new.
Communication & Language Development,Manding (Requesting),Request assistance with dressing,Say 'help dress' when needed.
Communication & Language Development,Manding (Requesting),Request to see a book,Say 'book' when you want to read.
Communication & Language Development,Manding (Requesting),Request a toy from a shelf,Say 'toy' to get the toy from the shelf.
Communication & Language Development,Manding (Requesting),Request a particular color toy,Specify the color toy you want.
Communication & Language Development,Manding (Requesting),Request a familiar sound or song,Ask for the song you recognize.
Communication & Language Development,Manding (Requesting),Request a gentle touch,Ask for a gentle pat.
Communication & Language Development,Manding (Requesting),Request a quiet environment,Say 'quiet please' when needed.
Communication & Language Development,Manding (Requesting),Request a repeated action,Say 'again' when you want something repeated.
Communication & Language Development,Manding (Requesting),Request to repeat a routine,Say 'do it again' to repeat a routine.
Communication & Language Development,Manding (Requesting),Request a slow pace during play,Say 'slow' when you want to play slowly.
Communication & Language Development,Manding (Requesting),Request to engage in parallel play,Indicate you want to play next to someone.
Communication & Language Development,Labeling (Tacting),Identify a common object (ball),Point to the ball and say 'ball.'
Communication & Language Development,Labeling (Tacting),Label a familiar animal (dog),Point to the dog picture and say 'dog.'
Communication & Language Development,Labeling (Tacting),Label a piece of furniture (chair),Identify the chair and say 'chair.'
Communication & Language Development,Labeling (Tacting),Label a food item (apple),Show the apple and say 'apple.'
Communication & Language Development,Labeling (Tacting),Label a vehicle (car),Point to the car and say 'car.'
Communication & Language Development,Labeling (Tacting),Identify a color (red),Point to red and say 'red.'
Communication & Language Development,Labeling (Tacting),Identify a color (blue),Point to blue and say 'blue.'
Communication & Language Development,Labeling (Tacting),Label a shape (circle),Show a circle and say 'circle.'
Communication & Language Development,Labeling (Tacting),Label a shape (square),Show a square and say 'square.'
Communication & Language Development,Labeling (Tacting),Identify a texture (soft),Touch the soft item and say 'soft.'
Communication & Language Development,Labeling (Tacting),Label an emotion (happy),Show a happy face and say 'happy.'
Communication & Language Development,Labeling (Tacting),Label an emotion (sad),Show a sad face and say 'sad.'
Communication & Language Development,Labeling (Tacting),Label a household item (cup),Point to the cup and say 'cup.'
Communication & Language Development,Labeling (Tacting),Label a body part (nose),Point to your nose and say 'nose.'
Communication & Language Development,Labeling (Tacting),Label a body part (hand),Point to your hand and say 'hand.'
Communication & Language Development,Labeling (Tacting),Identify a clothing item (hat),Point to the hat and say 'hat.'
Communication & Language Development,Labeling (Tacting),Identify a clothing item (shirt),Point to the shirt and say 'shirt.'
Communication & Language Development,Labeling (Tacting),Label a common fruit (banana),Show a banana and say 'banana.'
Communication & Language Development,Labeling (Tacting),Label a common vegetable (carrot),Show a carrot and say 'carrot.'
Communication & Language Development,Labeling (Tacting),Label a type of weather (sunny),Show a sunny picture and say 'sunny.'
Communication & Language Development,Labeling (Tacting),Label a type of weather (rainy),Show a rainy image and say 'rainy.'
Communication & Language Development,Labeling (Tacting),Label a simple action (run),Point to someone running and say 'run.'
Communication & Language Development,Labeling (Tacting),Label a simple action (jump),Show jumping and say 'jump.'
Communication & Language Development,Labeling (Tacting),Label a sound (bell),Ring a bell and say 'bell.'
Communication & Language Development,Labeling (Tacting),Label a sound (music),Play music and say 'music.'
Communication & Language Development,Labeling (Tacting),Label a location (park),Show a picture of a park and say 'park.'
Communication & Language Development,Labeling (Tacting),Label a location (home),Show a picture of a home and say 'home.'
Communication & Language Development,Labeling (Tacting),Label a common tool (spoon),Point to a spoon and say 'spoon.'
Communication & Language Development,Labeling (Tacting),Label a common tool (fork),Point to a fork and say 'fork.'
Communication & Language Development,Labeling (Tacting),Label a common toy (doll),Point to a doll and say 'doll.'
Communication & Language Development,Emerging Conversational Turn-Taking,Exchange a greeting 'hello',Say 'hello' when greeted.
Communication & Language Development,Emerging Conversational Turn-Taking,Exchange a farewell 'bye',Say 'bye' when leaving.
Communication & Language Development,Emerging Conversational Turn-Taking,Respond to a caregiver's greeting,Answer with a greeting when I say 'hi.'
Communication & Language Development,Emerging Conversational Turn-Taking,Initiate a simple greeting,Say 'hello' when you see me.
Communication & Language Development,Emerging Conversational Turn-Taking,Respond to a question with a sound,Make a sound response when I ask.
Communication & Language Development,Emerging Conversational Turn-Taking,Exchange a nonverbal turn (smile),Smile in response during a greeting.
Communication & Language Development,Emerging Conversational Turn-Taking,Wait for caregiver's turn to speak,Pause and let me speak first.
Communication & Language Development,Emerging Conversational Turn-Taking,Use eye contact during turn-taking,Look at me when it's your turn.
Communication & Language Development,Emerging Conversational Turn-Taking,Use a nod to acknowledge turn,Nod your head when it's your turn.
Communication & Language Development,Emerging Conversational Turn-Taking,Use a wave to signal turn completion,Wave when you finish your turn.
Communication & Language Development,Emerging Conversational Turn-Taking,Exchange a turn with a peer,Take turns when playing with a friend.
Communication & Language Development,Emerging Conversational Turn-Taking,Use a vocalization to indicate turn,Make a sound to show it's your turn.
Communication & Language Development,Emerging Conversational Turn-Taking,Follow a back-and-forth routine,Take turns saying words.
Communication & Language Development,Emerging Conversational Turn-Taking,Imitate a simple conversational pattern,Copy the greeting pattern I model.
Communication & Language Development,Emerging Conversational Turn-Taking,Demonstrate turn-taking with gestures,Use gestures to indicate turn exchange.
Communication & Language Development,Emerging Conversational Turn-Taking,Respond with a brief verbalization,Say a short word when it's your turn.
Communication & Language Development,Emerging Conversational Turn-Taking,Use a sign to take a turn,Show your sign when it's your turn.
Communication & Language Development,Emerging Conversational Turn-Taking,"Exchange a short, nonverbal message",Use a gesture to respond in conversation.
Communication & Language Development,Emerging Conversational Turn-Taking,Maintain engagement during conversation,Keep looking at me during conversation.
Communication & Language Development,Emerging Conversational Turn-Taking,Respond to a caregiver prompt in turn,Answer after I prompt you.
Communication & Language Development,Emerging Conversational Turn-Taking,Use a simple phrase during exchange,Say a brief phrase like 'me too.'
Communication & Language Development,Emerging Conversational Turn-Taking,Respond with a relevant sound,Make a sound that fits the conversation.
Communication & Language Development,Emerging Conversational Turn-Taking,Pause appropriately between turns,Wait a moment before speaking.
Communication & Language Development,Emerging Conversational Turn-Taking,Wait for visual cue to take turn,Look for my hand signal to take your turn.
Communication & Language Development,Emerging Conversational Turn-Taking,Signal readiness to take turn,Raise your hand when ready.
Communication & Language Development,Emerging Conversational Turn-Taking,Repeat a greeting initiated by caregiver,Repeat 'hello' after I say it.
Communication & Language Development,Emerging Conversational Turn-Taking,Use a smile to indicate turn,Smile when it’s your turn.
Communication & Language Development,Emerging Conversational Turn-Taking,Use a gesture to continue turn,Signal with a gesture to keep conversation going.
Communication & Language Development,Emerging Conversational Turn-Taking,Follow a structured conversation sequence,Take turns according to the routine.
Communication & Language Development,Emerging Conversational Turn-Taking,Complete a simple turn-taking exchange,Finish your turn before I start mine.
Communication & Language Development,Visual Supports for Communication,Select a picture card for a toy,Point to the picture card representing the toy.
Communication & Language Development,Visual Supports for Communication,Match a picture card to an object,Match the card to the corresponding object.
Communication & Language Development,Visual Supports for Communication,Point to a symbol representing food,Point to the food symbol on the card.
Communication & Language Development,Visual Supports for Communication,Choose a picture card when asked,"Select the card when I ask, 'Which one?'"
Communication & Language Development,Visual Supports for Communication,Use a picture card to request an item,Hand me the card of the item you want.
Communication & Language Development,Visual Supports for Communication,Identify a picture card for 'more',Select the 'more' card when desired.
Communication & Language Development,Visual Supports for Communication,Identify a picture card for 'all done',Select the 'all done' card when finished.
Communication & Language Development,Visual Supports for Communication,Select a picture card for an emotion,Choose the card that shows how you feel.
Communication & Language Development,Visual Supports for Communication,Match a picture card to a color,Pair the card with the matching color object.
Communication & Language Development,Visual Supports for Communication,Point to a picture card for a favorite animal,Select the card that shows your favorite animal.
Communication & Language Development,Visual Supports for Communication,Identify a picture card for a family member,Choose the card representing a family member.
Communication & Language Development,Visual Supports for Communication,Select a picture card for an activity,Pick the card that shows the activity you want.
Communication & Language Development,Visual Supports for Communication,Use a picture card to indicate hunger,Select the food card when you're hungry.
Communication & Language Development,Visual Supports for Communication,Use a picture card to indicate thirst,Select the drink card when thirsty.
Communication & Language Development,Visual Supports for Communication,Match a picture card to a location,Pair the card with the correct location.
Communication & Language Development,Visual Supports for Communication,Select a picture card for a vehicle,Choose the vehicle card when prompted.
Communication & Language Development,Visual Supports for Communication,Identify a picture card for a weather condition,Select the card showing the weather.
Communication & Language Development,Visual Supports for Communication,Match a picture card to a body part,Pair the card with the correct body part.
Communication & Language Development,Visual Supports for Communication,Choose a picture card to express a feeling,Select the card that shows your current feeling.
Communication & Language Development,Visual Supports for Communication,Select a picture card to request help,Pick the help card when needed.
Communication & Language Development,Visual Supports for Communication,Identify a picture card for a simple command,Select the card that represents the command.
Communication & Language Development,Visual Supports for Communication,Match a picture card to a simple action,Pair the card with the correct action.
Communication & Language Development,Visual Supports for Communication,Select a picture card for a common object,Choose the card that shows the object.
Communication & Language Development,Visual Supports for Communication,Use a picture card to choose an activity,Select the card that represents the activity.
Communication & Language Development,Visual Supports for Communication,Match a picture card to a familiar song,Pair the card with the song you know.
Communication & Language Development,Visual Supports for Communication,Select a picture card for a common animal,Choose the animal card from the set.
Communication & Language Development,Visual Supports for Communication,Identify a picture card for a common toy,Select the card that represents the toy.
Communication & Language Development,Visual Supports for Communication,Select a picture card for a gesture,Pick the card that shows the gesture.
Communication & Language Development,Visual Supports for Communication,Match a picture card to an emotion word,Pair the card with the correct emotion.
Communication & Language Development,Visual Supports for Communication,Use a picture card to indicate preference,Select the card for what you prefer.
Social & Emotional & Engagement Skills,Social Gaze & Eye Contact,Establish initial eye contact,"When I say 'look here', make eye contact."
